Mapping-Type,Cacheline-Size,Cacheline-Num,Gates
Fully-Associative,16,1000,6292141
Direct,16,1000,713735
Fully-Associative,16,10000,13348141
Direct,16,10000,6961735
Fully-Associative,16,10,5515981
Direct,16,10,9095
Fully-Associative,16,100,5586541
Direct,16,100,74135
Fully-Associative,32,1000,6928270
Direct,32,1000,1349864
Fully-Associative,32,10000,19708270
Direct,32,10000,13321864
Fully-Associative,32,10,5522470
Direct,32,10,15584
Fully-Associative,32,100,5650270
Direct,32,100,137864
Fully-Associative,64,1000,8204527
Direct,64,1000,2626121
Fully-Associative,64,10000,32468527
Direct,64,10000,26082121
Fully-Associative,64,10,5535487
Direct,64,10,28601
Fully-Associative,64,100,5778127
Direct,64,100,265721
Fully-Associative,128,1000,10761040
Direct,128,1000,5182634
Fully-Associative,128,10000,58029040
Direct,128,10000,51642634
Fully-Associative,128,10,5561560
Direct,128,10,54674
Fully-Associative,128,100,6034240
Direct,128,100,521834
